Key,Value
addalert_air_btn,"🌫️ Luftalarm"
addalert_my_alerts_btn,"📋 Meine Warnungen"
addalert_rain_btn,"🌧️ Regen-Warnung"
addalert_temp_btn,"🌡️ Temperatur-Warnung"
addalert_text,"⚠️ *Wetter-Warnsystem*

Erstellen Sie benutzerdefinierte Warnungen für Wetterbedingungen:

*Warnungstypen:*
• 🌡️ Temperatur (hohe/niedrige Schwellwerte)
• 💧 Luftfeuchtigkeit
• 🌬️ Windgeschwindigkeits-Warnungen
• ☀️ UV-Index-Warnungen
• 🌫️ Luftqualitäts-Benachrichtigungen
• 🌧️ Niederschlags-Warnungen

*Enterprise-Funktionen:*
• Slack/Teams-Integration
• E-Mail-Benachrichtigungen
• Eskalationsverfahren
• Compliance-Berichterstattung"
addalert_wind_btn,"🌬️ Wind-Warnung"
air_location_needed,"📍 Bitte geben Sie einen Standort an oder setzen Sie Ihren Standort:

/air London
oder
/setlocation um Ihren Standort zu setzen"
air_quality_error,"❌ **Luftqualitätsdienst-Fehler**

Entschuldigung, wir konnten gerade keine Luftqualitätsdaten abrufen. Bitte versuchen Sie es in einigen Minuten erneut."
button_add_alert,"🔔 Warnung hinzufügen"
button_back_to_settings,"🔙 Zurück zu Einstellungen"
button_back_to_start,"🏠 Zurück zum Start"
button_current_weather,"🌤️ Aktuelles Wetter"
button_data_export,"📊 Datenexport"
button_get_weather,"🌤️ Wetter abrufen"
button_language,"🌐 Sprache"
button_notifications,"🔔 Benachrichtigungen"
button_set_air_alert,"🌫️ Luftqualitätswarnung setzen"
button_set_location,"📍 Standort setzen"
button_settings,"⚙️ Einstellungen"
button_share_location,"📍 Standort teilen"
button_timezone,"🕐 Zeitzone"
button_units,"📏 Einheiten"
forecast_error,"❌ **Vorhersagedienst-Fehler**

Entschuldigung, wir konnten gerade keine Vorhersagedaten abrufen. Bitte versuchen Sie es in einigen Minuten erneut."
forecast_location_needed,"📍 Bitte geben Sie einen Standort an oder setzen Sie Ihren Standort:

/forecast London
oder
/setlocation um Ihren Standort zu setzen"
help_addalert,"Benutzerdefinierte Wetterwarnungen erstellen"
help_admin_commands,Administrator-Befehle
help_air,"Luftqualitätsindex und Schadstoffe"
help_alerts,"Intelligentes Warnsystem"
help_basic_commands,Grundbefehle
help_broadcast,"Nachricht an alle Benutzer senden"
help_data_export,"Datenexport - Exportieren Sie Ihre Daten in JSON/CSV/TXT-Formaten"
help_export_alerts,"Warnkonfigurationen und Verlauf"
help_export_complete,"Vollständiger Datenexport"
help_export_features,Datenexport-Funktionen
help_export_subscriptions,Benachrichtigungsabonnements
help_export_weather,"Wetterdaten (letzten 30 Tage)"
help_forecast,5-Tage-Wettervorhersage
help_location_management,Standortverwaltung
help_notifications,"**🔔 Benachrichtigungen & Warnungen:**"
help_pro_tips,Profi-Tipps
help_removealert,"Bestimmte Warnung entfernen"
help_setlocation,"Ihren Standort festlegen (Text, Koordinaten oder Standort teilen)"
help_settings,"**⚙️ Einstellungen & Präferenzen:**"
help_settings_desc,"Umfassendes Einstellungsmenü öffnen\n• Sprache, Einheiten, Zeitzoneneinstellungen\n• Verwaltung der Benachrichtigungseinstellungen"
help_stats,Bot-Nutzungsstatistiken
help_subscribe,"Wetterbenachrichtigungen einrichten"
help_subscriptions,"Aktive Abonnements anzeigen"
help_support,"**💬 Hilfe benötigt?**"
help_tip_alerts,"Mehrere Warnungen für verschiedene Bedingungen einstellen"
help_tip_export,"Daten regelmäßig für Backup/Compliance exportieren"
help_tip_location,"Teilen Sie Ihren Standort für sofortiges Wetter"
help_tip_separation,"Getrennte Standort- und Zeitzonenverwaltung"
help_tip_timezone,"Zeitzoneneinstellungen für genaue Benachrichtigungen verwenden"
help_title,"🤖 **ShoPogoda Bot - Verfügbare Befehle**"
help_unsubscribe,"Benachrichtigungen entfernen"
help_users,Benutzerverwaltung
help_view_alerts,"Aktive Warnungen anzeigen und verwalten"
help_weather,"**🌤️ Wetterbefehle:**"
language_current,"🌍 **Aktuelle Sprache:** %s %s"
language_select,"🌍 **Wählen Sie Ihre Sprache**

Wählen Sie Ihre bevorzugte Sprache für Bot-Nachrichten:"
language_set_error,"❌ **Sprachaktualisierung fehlgeschlagen**

Bitte versuchen Sie es erneut oder kontaktieren Sie den Support."
language_set_success,"✅ **Sprache aktualisiert**

🌍 Sprache eingestellt auf: %s %s

Alle Bot-Nachrichten werden nun in Ihrer gewählten Sprache angezeigt!"
location_clear_failed,"❌ Löschen des Standorts fehlgeschlagen"
