Key,Value
addalert_air_btn,🌫️ Air Alert
addalert_my_alerts_btn,📋 My Alerts
addalert_rain_btn,🌧️ Rain Alert
addalert_temp_btn,🌡️ Temperature Alert
addalert_text,"⚠️ *Weather Alert System*

Create custom alerts for weather conditions:

*Alert Types:*
• 🌡️ Temperature (high/low thresholds)
• 💧 Humidity levels
• 🌬️ Wind speed warnings
• ☀️ UV index alerts
• 🌫️ Air quality notifications
• 🌧️ Precipitation alerts

*Enterprise Features:*
• Slack/Teams integration
• Email notifications
• Escalation procedures
• Compliance reporting"
addalert_wind_btn,🌬️ Wind Alert
admin_broadcast_failed_get_users,❌ Failed to get user list
admin_broadcast_insufficient_permissions,❌ Insufficient permissions
admin_broadcast_message_header,"📢 *Admin Broadcast*

%s"
admin_broadcast_results,"📊 *Broadcast Results*

✅ Successful: %d
❌ Failed: %d
👥 Total: %d"
admin_broadcast_usage,"Usage: /broadcast <message>

Sends a message to all active users"
admin_stats_active_subscriptions,Active Subscriptions: %d
admin_stats_active_users,Active Users: %d
admin_stats_alerts_configured,Alerts Configured: %d
admin_stats_api_section,🌐 *API Usage:*
admin_stats_avg_response_time,Average Response Time: %dms
admin_stats_cache_hit_rate,Cache Hit Rate: %.1f%%
admin_stats_messages_sent,Messages Sent (24h): %d
admin_stats_new_users,New Users (24h): %d
admin_stats_notifications_section,🔔 *Notifications:*
admin_stats_performance_section,📈 *Performance:*
admin_stats_title,📊 *System Statistics*
admin_stats_total_users,Total Users: %d
admin_stats_uptime,Uptime: %.2f%%
admin_stats_users_section,👥 *Users:*
admin_stats_users_with_location,Users with Location: %d
admin_stats_weather_requests,Weather Requests (24h): %d
admin_users_active_alerts,Active Alerts: %d
admin_users_active_users,Active Users: %d
admin_users_activity_section,📈 *Activity:*
admin_users_admins,Admins: %d
admin_users_detailed_stats_btn,📊 Detailed Stats
admin_users_locations_saved,Locations Saved: %d
admin_users_messages,Messages (24h): %d
admin_users_moderators,Moderators: %d
admin_users_new_users,New Users (24h): %d
admin_users_recent_btn,👤 Recent Users
admin_users_roles_btn,🔒 Manage Roles
admin_users_statistics_section,📊 *Statistics:*
admin_users_title,👥 *User Management*
admin_users_total_users,Total Users: %d
admin_users_weather_requests,Weather Requests: %d
air_location_needed,"📍 Please provide a location or set your location:

/air London
or
/setlocation to set your location"
air_quality_co,🏭 CO (Carbon Monoxide)
air_quality_error,"❌ **Air Quality Service Error**

Sorry, we couldn't fetch air quality data right now. Please try again in a few minutes."
air_quality_health_recommendations,*Health Recommendations:*
air_quality_no2,🚗 NO₂ (Nitrogen Dioxide)
air_quality_o3,☀️ O₃ (Ozone)
air_quality_overall_aqi,🌿 *Overall AQI: %d (%s)*
air_quality_pm10,🌫️ PM10
air_quality_pm25,🏭 PM2.5
air_quality_pollutants,*Pollutant Levels:*
air_quality_title,🌬️ *Air Quality - %s*
air_quality_updated,📅 Updated
alert_air_created_moderate,✅ Air quality alert created! You'll be notified when AQI exceeds %.0f.
alert_air_created_unhealthy,✅ Air quality alert created! You'll be notified when AQI reaches unhealthy levels (%.0f+).
alert_air_custom,⚙️ Custom Threshold
alert_air_moderate,⚠️ Moderate AQI (>100)
alert_air_unhealthy,🚨 Unhealthy AQI (>150)
alert_created,✅ Alert created!
alert_setup_title,"🔔 *Set Alert for %s*

Choose the type of alert you want to create:"
alert_temp_created_high,✅ High temperature alert created! You'll be notified when temperature exceeds %.1f°C.
alert_temp_created_low,✅ Low temperature alert created! You'll be notified when temperature drops below %.1f°C.
alert_temp_custom,⚙️ Custom Threshold
alert_temp_high,🔥 High Temperature (>30°C)
alert_temp_low,🥶 Low Temperature (<0°C)
alert_wind_created,✅ Wind alert created! You'll be notified when wind speed exceeds %.1f km/h.
alert_wind_custom,⚙️ Custom Threshold
alert_wind_strong,💨 Strong Wind (>50 km/h)
alert_wind_very_strong,🌪️ Very Strong (>80 km/h)
aqi_good,Good
aqi_hazardous,Hazardous
aqi_moderate,Moderate
aqi_unhealthy,Unhealthy
aqi_unhealthy_sensitive,Unhealthy for Sensitive Groups
aqi_very_unhealthy,Very Unhealthy
button_add_alert,🔔 Add Alert
button_add_subscription,🔔 Add New Subscription
button_air_quality,🌬️ Air Quality
button_back_to_settings,🔙 Back to Settings
button_back_to_start,🏠 Back to Start
button_change_location,📍 Change Location
button_current_weather,🌤️ Current Weather
button_data_export,📊 Data Export
button_forecast,📊 5-Day Forecast
button_get_weather,🌤️ Get Weather
button_language,🌐 Language
button_notifications,🔔 Notifications
button_set_air_alert,🌫️ Set Air Alert
button_set_alert,🔔 Set Alert
button_set_location,📍 Set Location
button_settings,⚙️ Settings
button_share_location,📍 Share Location
button_timezone,🕐 Timezone
button_units,📏 Units
error_alert_create_failed,❌ Failed to create alert. Please try again.
error_coordinate_format,"❌ Invalid coordinate format. Please use format: 'latitude, longitude' (e.g., '37.7749, -122.4194')"
error_forecast_get_failed,❌ Failed to get forecast for '%s'. Please check the location name.
error_latitude_invalid,❌ Invalid latitude value
error_latitude_range,❌ Latitude must be between -90 and 90
error_location_not_found,❌ Failed to find location '%s'
error_longitude_invalid,❌ Invalid longitude value
error_longitude_range,❌ Longitude must be between -180 and 180
error_subscription_create_failed,❌ Failed to create subscription. Please try again.
error_subscription_remove_failed,❌ Failed to remove subscription. Please try again.
error_timezone_invalid,"❌ Invalid timezone '%s'. Please use a valid timezone name like 'Europe/Kyiv', 'America/New_York', ..."
error_timezone_invalid_simple,❌ Invalid timezone. Please try again.
error_weather_get_failed,❌ Failed to get weather for '%s'. Please check the location name.
error_weather_location_failed,❌ Failed to get weather for your location
export_alert,Alert
export_alert_configs_configured,Alert Configurations (%d configured)
export_alert_configurations,Alert Configurations
export_alert_type,Alert Type
export_alerts_data_type,⚠️ Alerts
export_all_data_type,📦 All Data
export_aqi,AQI
export_complete,"✅ *Export Complete*

Your data export has been sent as a file above."
export_condition,Condition
export_coordinates,Coordinates
export_created_at,Created At
export_data_export_header,ShoPogoda Data Export
export_date,Date
export_description,Description
export_end,End of Export
export_exported_at,Exported At
export_failed,"❌ *Export Failed*

Sorry, there was an error generating your export. Please try again later."
export_format_csv,📊 CSV
export_format_json,📄 JSON
export_format_txt,📝 TXT
export_frequency,Frequency
export_humidity,Humidity
export_is_active,Is Active
