Key,Value
addalert_air_btn,"🌫️ Alerta de Aire"
addalert_my_alerts_btn,"📋 Mis alertas"
addalert_rain_btn,"🌧️ Alerta de lluvia"
addalert_temp_btn,"🌡️ Alerta de temperatura"
addalert_text,"⚠️ *Sistema de alertas climáticas*

Crea alertas personalizadas para condiciones climáticas:

*Tipos de alerta:*
• 🌡️ Temperatura (umbrales alto/bajo)
• 💧 Niveles de humedad
• 🌬️ Advertencias de velocidad del viento
• ☀️ Alertas de índice UV
• 🌫️ Notificaciones de calidad del aire
• 🌧️ Alertas de precipitación

*Características empresariales:*
• Integración Slack/Teams
• Notificaciones por email
• Procedimientos de escalación
• Reportes de cumplimiento"
addalert_wind_btn,"🌬️ Alerta de viento"
air_location_needed,"📍 Por favor proporcione una ubicación o establezca su ubicación:

/air Londres
o
/setlocation para establecer su ubicación"
air_quality_error,"❌ **Error del Servicio de Calidad del Aire**

Lo sentimos, no pudimos obtener datos de calidad del aire en este momento. Inténtelo de nuevo en unos minutos."
button_add_alert,"🔔 Agregar alerta"
button_back_to_settings,"🔙 Volver a configuraciones"
button_back_to_start,"🏠 Volver al Inicio"
button_current_weather,"🌤️ Clima actual"
button_data_export,"📊 Exportar Datos"
button_get_weather,"🌤️ Obtener clima"
button_language,"🌐 Idioma"
button_notifications,"🔔 Notificaciones"
button_set_air_alert,"🌫️ Establecer Alerta de Aire"
button_set_location,"📍 Establecer Ubicación"
button_settings,"⚙️ Configuraciones"
button_share_location,"📍 Compartir Ubicación"
button_timezone,"🕐 Zona Horaria"
button_units,"📏 Unidades"
forecast_error,"❌ **Error del Servicio de Pronóstico**

Lo sentimos, no pudimos obtener datos de pronóstico en este momento. Inténtelo de nuevo en unos minutos."
forecast_location_needed,"📍 Por favor proporcione una ubicación o establezca su ubicación:

/forecast Londres
o
/setlocation para establecer su ubicación"
help_addalert,"Crear alertas meteorológicas personalizadas"
help_admin_commands,"Comandos de Administrador"
help_air,"Índice de calidad del aire y contaminantes"
help_alerts,"Sistema de Alertas Inteligente"
help_basic_commands,"Comandos Básicos"
help_broadcast,"Enviar mensaje a todos los usuarios"
help_data_export,"Exportar Datos - Exporte sus datos en formatos JSON/CSV/TXT"
help_export_alerts,"Configuraciones de alertas e historial"
help_export_complete,"Exportación completa de datos"
help_export_features,"Funciones de Exportación de Datos"
help_export_subscriptions,"Suscripciones de notificaciones"
help_export_weather,"Datos meteorológicos (últimos 30 días)"
help_forecast,"Pronóstico del tiempo de 5 días"
help_location_management,"Gestión de Ubicación"
help_notifications,"**🔔 Notificaciones y alertas:**"
help_pro_tips,"Consejos Profesionales"
help_removealert,"Eliminar alerta específica"
help_setlocation,"Establecer su ubicación (texto, coordenadas o compartir ubicación)"
help_settings,"**⚙️ Configuración y preferencias:**"
help_settings_desc,"Abrir menú de configuración completo\n• Idioma, unidades, configuración de zona horaria\n• Gestión de preferencias de notificación"
help_stats,"Estadísticas de uso del bot"
help_subscribe,"Configurar notificaciones meteorológicas"
help_subscriptions,"Ver suscripciones activas"
help_support,"**💬 ¿Necesitas ayuda?**"
help_tip_alerts,"Establecer múltiples alertas para diferentes condiciones"
help_tip_export,"Exportar datos regularmente para respaldo/cumplimiento"
help_tip_location,"Comparta su ubicación para clima instantáneo"
help_tip_separation,"Gestión separada de ubicación y zona horaria"
help_tip_timezone,"Usar configuración de zona horaria para notificaciones precisas"
help_title,"🤖 **Bot ShoPogoda - Comandos disponibles**"
help_unsubscribe,"Eliminar notificaciones"
