Key,Value
addalert_air_btn,"🌫️ Alerte Air"
addalert_my_alerts_btn,"📋 Mes Alertes"
addalert_rain_btn,"🌧️ Alerte Pluie"
addalert_temp_btn,"🌡️ Alerte Température"
addalert_text,"⚠️ *Système d'Alerte Météo*\n\nCréez des alertes personnalisées pour les conditions météorologiques :\n\n*Types d'Alerte :*\n• 🌡️ Température (seuils haut/bas)\n• 💧 Niveaux d'humidité\n• 🌬️ Avertissements de vitesse du vent\n• ☀️ Alertes d'index UV\n• 🌫️ Notifications de qualité de l'air\n• 🌧️ Alertes de précipitations\n\n*Fonctionnalités Entreprise :*\n• Intégration Slack/Teams\n• Notifications par email\n• Procédures d'escalade\n• Rapports de conformité"
addalert_wind_btn,"🌬️ Alerte Vent"
air_location_needed,"📍 Veuillez fournir un emplacement ou définir votre emplacement :

/air Londres
ou
/setlocation pour définir votre emplacement"
air_quality_error,"❌ **Erreur du Service de Qualité de l'Air**

Désolé, nous n'avons pas pu récupérer les données de qualité de l'air en ce moment. Veuillez réessayer dans quelques minutes."
button_add_alert,"🔔 Ajouter Alerte"
button_back_to_settings,"🔙 Retour aux paramètres"
button_back_to_start,"🏠 Retour au Début"
button_current_weather,"🌤️ Météo Actuelle"
button_data_export,"📊 Export de Données"
button_get_weather,"🌤️ Obtenir Météo"
button_language,"🌐 Langue"
button_notifications,"🔔 Notifications"
button_set_air_alert,"🌫️ Définir Alerte Air"
button_set_location,"📍 Définir Emplacement"
button_settings,"⚙️ Paramètres"
button_share_location,"📍 Partager Emplacement"
button_timezone,"🕐 Fuseau Horaire"
button_units,"📏 Unités"
forecast_error,"❌ **Erreur du Service de Prévisions**

Désolé, nous n'avons pas pu récupérer les données de prévisions en ce moment. Veuillez réessayer dans quelques minutes."
forecast_location_needed,"📍 Veuillez fournir un emplacement ou définir votre emplacement :

/forecast Londres
ou
/setlocation pour définir votre emplacement"
help_addalert,"Créer des alertes météo personnalisées"
help_admin_commands,"Commandes Administrateur"
help_air,"Indice de qualité de l'air et polluants"
help_alerts,"Système d'Alerte Intelligent"
help_basic_commands,"Commandes de Base"
help_broadcast,"Envoyer un message à tous les utilisateurs"
help_data_export,"Export de Données - Exportez vos données aux formats JSON/CSV/TXT"
help_export_alerts,"Configurations d'alertes et historique"
help_export_complete,"Export complet des données"
help_export_features,"Fonctionnalités d'Export de Données"
help_export_subscriptions,"Abonnements aux notifications"
help_export_weather,"Données météo (30 derniers jours)"
help_forecast,"Prévisions météo 5 jours"
help_location_management,"Gestion de l'Emplacement"
help_notifications,"**🔔 Notifications et alertes :**"
help_pro_tips,"Conseils Pro"
help_removealert,"Supprimer une alerte spécifique"
help_setlocation,"Définir votre emplacement (texte, coordonnées ou partager l'emplacement)"
help_settings,"**⚙️ Paramètres et préférences :**"
help_settings_desc,"Ouvrir le menu de paramètres complet\n• Langue, unités, paramètres de fuseau horaire\n• Gestion des préférences de notification"
help_stats,"Statistiques d'utilisation du bot"
help_subscribe,"Configurer les notifications météo"
help_subscriptions,"Voir les abonnements actifs"
help_support,"**💬 Besoin d'aide ?**"
help_tip_alerts,"Définir plusieurs alertes pour différentes conditions"
help_tip_export,"Exporter régulièrement les données pour sauvegarde/conformité"
